line,shotpoint,x,y,lat,lon
2112,5231,480457.0,173961.0,5.56989647,6.753124663
2112,5266,482148.0,173509.0,5.565743878,6.768357526
2128,5232,480610.0,174335.0,5.57326605,6.754506849
2128,5267,482301.0,173881.0,5.569114295,6.769739769
2144,5218,480036.0,174901.0,5.578414876,6.749361045
2144,5257,481921.0,174397.0,5.573788329,6.766334279
2160,5204,479462.0,175465.0,5.583564595,6.744215154
2160,5247,481541.0,174912.0,5.578463265,6.762929647
2176,5204,479567.0,175856.0,5.587052456,6.745162089
2176,5250,481790.0,175260.0,5.58159626,6.765182438
2192,5219,480396.0,176048.0,5.588761933,6.752638105
2192,5264,482570.0,175465.0,5.583423758,6.772223076
2208,5226,480837.0,176344.0,5.591420117,6.756631991
2208,5260,482479.0,175901.0,5.5873864,6.77142913
2224,5220,480652.0,176806.0,5.595620214,6.7549674
2224,5256,482391.0,176345.0,5.591349042,6.770636085
2240,5218,480660.0,177218.0,5.599346355,6.755044798
2240,5264,482880.0,176623.0,5.593888788,6.775065288
2256,5221,480908.0,177566.0,5.602478459,6.75729768
2256,5268,483177.0,176959.0,5.596902503,6.777753476
2272,5230,481447.0,177837.0,5.60489912,6.762162241
2272,5271,483425.0,177305.0,5.600034474,6.780006429
2288,5218,480971.0,178380.0,5.609811559,6.757886026
2288,5258,482901.0,177861.0,5.605065245,6.775296068
2304,5205,480444.0,178937.0,5.614842258,6.753175359
2304,5237,481990.0,178519.0,5.611045835,6.767103434
2304,5270,483585.0,178093.0,5.607129964,6.781466469
2320,5230,481755.0,178997.0,5.615364226,6.765003649
2320,5275,483930.0,178414.0,5.610025324,6.784590034
2336,5226,481667.0,179433.0,5.619327792,6.7642106
2336,5253,482970.0,179084.0,5.616123412,6.775962219
2352,5207,480851.0,180067.0,5.625069998,6.756888226
2352,5239,482397.0,179652.0,5.621273399,6.770816458
2352,5266,483702.0,179304.0,5.618069788,6.782568026
2368,5224,481776.0,180233.0,5.626541654,6.765235318
2368,5251,483080.0,179884.0,5.623338101,6.776987056
2384,5208,481107.0,180831.0,5.631928176,6.759217879
2384,5240,482652.0,180413.0,5.628131462,6.773146219
2384,5267,483957.0,180062.0,5.624927754,6.784897877
2400,5225,482030.0,180993.0,5.633399757,6.767565068
2400,5257,483577.0,180578.0,5.629602851,6.781493305
2416,5210,481410.0,181574.0,5.638668038,6.761983815
2416,5263,483971.0,180888.0,5.632378963,6.785052314
2432,5241,483011.0,181558.0,5.638478089,6.776424275
2432,5275,484655.0,181118.0,5.634443446,6.791223034
2448,5251,483598.0,181815.0,5.640779238,6.781724496
2464,5234,482880.0,182423.0,5.646285117,6.775272793
2464,5265,484376.0,182022.0,5.642606223,6.788765892
2480,5250,483757.0,182602.0,5.647874668,6.783183955
2496,5240,483377.0,183118.0,5.652549811,6.779779305
2496,5267,484682.0,182768.0,5.649345788,6.791531311
2512,5246,483771.0,183426.0,5.655325878,6.783338494
2512,5273,485075.0,183077.0,5.652121768,6.795090501
2528,5244,483778.0,183838.0,5.659051932,6.783416232
2528,5272,485131.0,183476.0,5.655728579,6.795603594
2544,5225,482963.0,184471.0,5.664794497,6.776093802
